id,title,year,voyager,pages
5255,A B See,1973,5533078,128
5552,A is for Africa,1993,5847687,32
3536,A to Zen : a book of Japanese culture,1992,5733108,32
2636,"A, was an archer and Picture alphabet of nouns",1859,4720815,38
5563,ABC / Norbertine v. Bresslern-Roth,1946,7052869,62
273,ABC and the Children of Many Nations,1916,5645244,16
5212,ABC de Cendrillon,1928,4717383,20
270,ABC Fun,1910,4753534,12
272,ABC Health Cards,1915,4737500,26
276,ABC Jingles,1920,5947542,16
5558,ABC na Gaedilge,1946,4735141,24
3524,ABC of cars and trucks,1956,4763618,37
3526,Abc writing book : let's colour the picture and trace the letters,1990,4773976,40
258,ABC: An alphabet written & pictured,1895,4844136,92
3518,ABC's of forest fire prevention,1950,4745986,30
5546,ABC's of great Negroes,1933,5325416,64
5550,ABG,1971,6027374,60
260,"Adventures of ABC, The",1900,4736902,16
277,"Adventurous Billy & Betty, The",1923,4769417,28
3519,African A.B.C.,1959,5179194,36
283,Afro-Bets,1987,5877360,28
5254,Aiding and abetting : an alphabet for AIDS,1991,9690518,72
5545,Alphabet of Fairy Tales,1871,4721263,116
3516,Alphabet Rhymes,1938,4741496,64
3534,"American ABC, An",1941,5592195,66
265,"An A. B. C. of every-day people, good, bad & indifferent",1902,5754953,62
250,"An Alphabet Allegorical, Alliterative & Amusing. Appreciable at all Ages",1871,4714194,36
279,An Alphabet for Boys & Girls,1926,4973623,72
2634,An alphabet of celebrities,1899,2979190,70
275,An Alphabet of Fairy Tales,1920,4764206,20
3515,Ant and Bee : an alphabetical story for tiny tots,1940,4735834,113
256,Apple Pie,1886,5512091,53
249,Arthur's Book of Alphabets,1865,4758882,38
6473,Ashanti to Zulu : African traditions,1976,,40
3528,Ashley Bryan's ABC of African-American poetry,1997,9952206513506421,40
5560,Australian alphabet,1942,5359201,36
5122,Azbuka (Alphabet),1918,9948430303506421,42
5123,Azbuka krasnoarmeitsa (The ABC of the Red Army),1921,9947584083506421,30
264,Babes of the Empire from A to Z,1902,4764330,66
2643,Baby's jingly journey through Alphabet Land : a collection of musical rhymes for children,1921,4768309,36
263,"Bandit Bunny Alphabet and other stories, The",1901,4770063,32
254,Barnum and Jumbo's ABC,1880,4720877,12
274,"Bizarre Company, A",1917,4734384,94
3520,Blinky Bill's ABC book,1947,4757383,20
3531,"Bold carnivore : an alphabet of predators, A",1995,5483368,40
259,Bowden's ABC Book of India,1900,4769573,20
3527,Bruno Munari's ABC,1960,SCSB-6704935,56
3517,"Burma Alphabet in English & Burmese, The",1931,4745411,35
3532,C is for curious : an ABC of feelings,1990,5499956,40
3523,"Calypso alphabet, The",1989,4758833,32
281,"Canadian child's ABC, A",1931,5468260,66
4,"child's alphabet, The : emblematically described and embellished by twenty-four pictures : brought into easy verse, for the tender capacities of young readers : the whole contrived to allure children into the love of learning",1805,5190945,20
3525,City country ABC,1946,4772233,52
5253,Co okręt wiezie,1968,4768083,40
4803,D is for Doufu : an alphabet book of Chinese culture,1997,5792026,40
266,Denslow's ABC Book,1903,6276923,16
3535,Eating the alphabet : fruits and vegetables from A to Z,1989,5723270,44
271,Edward Lear's ABC,1913,5500083,64
2646,Father Tuck's Noah's Ark ABC,1890,7316719,16
5549,Fotografisch abc boek,1920,5181033,58
5559,Fuku-chan ABC (Fuku-chan's ABC),1946,4980208,32
5556,Gadens A.B.C.,1943,5176232,20
4804,Gathering the sun : an A B C in Spanish and English,1997,5799246,96
242,"Goldfish at School; or, The Alphabet of Frank the Fisherman",1823,4721007,34
268,Goop Tales,1904,4747856,120
252,Grandmama Goodsoul's ABC of eatables,1877,4721015,16
2635,Grandmamma Easy's Illuminated scriptural alphabet,1850,4719878,16
2642,Grandpapa Easy's New scripture historical alphabet,1843,4881760,30
2644,Green's alphabetical panorama,1850,5755644,64
3521,Halloween A B C,1987,4758359,40
5547,Handsigns: a sign language alphabet,1993,5585796,40
282,Handtalk,1974,5515782,48
3539,Harold's ABC,1963,8814462,68
6474,Idalia's project ABC = Proyecto ABC : an urban alphabet book in English and Spanish,1981,,40
2633,Illustrated alphabet of nouns,1896,4724775,14
5,"Invited alphabet, or, Address of A to B, The",1809,9947194513506421,72
3537,Jambo means hello : Swahili alphabet book,1981,5895613,60
5551,L'alfabeto di mago Abicì,1952,8438303,72
261,Laugh and Learn ABC Book,1900,4976202,16
278,Little Folks' ABC,1923,4968972,12
3529,Look for the letters : a hide-and-seek alphabet,1945,5412632,64
5553,Many nations: an alphabet of Native America,1997,4745845,40
251,Mavor's Illustrated Primer,1871,5735175,34
3513,"Mickey Mouse musical ABC story, A",1930,4770876,32
280,"Modern ABC Book, The",1930,6273614,40
5555,Moje abeceda,1926,4965036,24
2638,"Moral Alphabet, A",1899,4723318,72
247,Mother's Picture Alphabet,1850,4719680,66
2645,"Mounted picture toy book : comprising, Nursery rhyme alphabet, Nursery numbers, The tiny tea party, The book of trades ; with thirty-two pages of illustrations, printed in colours",1872,5728498,100
6471,My abc reading book,1976,,32
5554,Nangsu Koh Kai Son Hai Chun Rak Chat,1974,4843206,60
262,"Naval Alphabet, A",1900,4844148,64
255,Old Aunt Elspa's ABC,1884,4714852,28
244,Osbourne's pictorial alphabet,1835,4764872,40
2637,Panoramic alphabet of peace,1856,4717703,62
245,R. Cruikshank's comic alphabet,1840,4838506,38
5256,Raggedy Ann's alphabet book,1925,4843485,48
5548,Sleepy ABC,1994-1953,5416921,40
241,"Take your choice!, or, A peep at my playmates",1822,4841051,44
6,The alphabet of Goody Two Shoes,1820,4718903,210
2632,The alphabet of musical bogeys,1899,4724405,72
246,The Anti-Slavery Alphabet,1847,4839807,40
257,The Bicycle ABC,1890,4724308,12
6472,The Black BC's,1970,,56
253,The Children's Moral Alphabet,1879,4714501,56
248,The History of Apple Pie,1858,4841149,17
2639,The home alphabet book : with descriptive coloured engravings,1857,4719934,84
240,"The Infant’s Posture Alphabet; or, Harlequin’s A, B, C",1822,4719957,36
269,The Keith ABC for children,1906,4769662,36
2641,The Noah's ark ABC,1905,5723726,22
5562,The Northwest Coast Indians ABC book,1972,9621172,36
243,The Scripture Alphabet for children,1824,4719468,32
2640,The soldiers and sailors ABC,1914,4768027,12
29,The Teddy Bear ABC,1907,5328640,64
5561,The toothland ABC,1953,5468341,36
28,The Twins ABC,1904,5336385,64
27,The Union ABC,1860,4715477,16
26,The Union Label Alphabet for Little and Big Children,1905,4770717,32
267,The world at home ABC : an alphabet of nations,1903,5645363,64
24,Tom Thumb's alphabet,1836,4840337,40
23,Tony Sarg's Alphabet,1926,4769970,64
3530,"Ultimate alphabet, The",1992,5714039,72
3538,Wild animal crackers,1930,6203272,60
22,Wright’s Alphabet Book,1910,4750449,16
